4         Threads
50        Connections per thread
50000     Requests per thread
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets       13081.92          ---          ---      1.40800      1007.81
Gets      130801.96        27.68    130774.28      1.40300      4967.66
Totals    143883.89        27.68    130774.28      1.40300      5975.47


Request Latency Distribution
Type        <= msec      Percent
------------------------------------------------------------------------
SET               0        24.17
SET               1        82.66
SET               2        97.05
SET               3        99.04
SET               4        99.63
SET               5        99.79
SET               6        99.86
SET               7        99.90
SET               8        99.92
SET               9        99.94
SET              10        99.96
SET              11        99.98
SET              12        99.98
SET              13        99.99
SET              14       100.00
SET              15       100.00
SET              16       100.00
SET              17       100.00
SET              18       100.00
---
GET               0        24.31
GET               1        82.82
GET               2        97.06
GET               3        99.06
GET               4        99.64
GET               5        99.80
GET               6        99.87
GET               7        99.91
GET               8        99.93
GET               9        99.95
GET              10        99.96
GET              11        99.98
GET              12        99.99
GET              13        99.99
GET              14       100.00
GET              15       100.00
GET              16       100.00
GET              17       100.00
GET              18       100.00
GET              22       100.00
